treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.338	0	0	0	0	0	0	0	56.3723	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	3279.52	0	3591.01	0	0	0	0	0	0	0	2511.21	0	0	0	0	0	2051.11	0	903.564	0	0	0	0	0	0	860.441	1230.48	0	1726.28	0	3839.7	0	0	0	0	4799.41
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	2135.63	1732.99	1514.67	1919.19	0	1690.52	0	1386.86	878.483	2018.32	1657.13	1100.38	451.548	814.631	1249.87	1117.11	1196.42	0	1339.17	2100.56	1304.18	0	1326.91	2078.1	1974.11	1803.52	1317.5	1954.8	959.019	1456.12	1960.92	0	0	1702.95	0	2105.48
UNINTEGRATED|g__Bacteroides.s__Bacteroides_cellulosilyticus	1630.85	1368.16	2451.7	2260.44	1260.94	1414.87	2978.01	695.627	1242.66	2734.36	1850.4	1243.22	1656.26	1461.23	1140.05	1302.36	2523.84	0	1684.63	2071.64	1737.26	0	960.051	931.595	2108.76	1721.93	1891.4	2902.73	1724.32	1838.52	1019.12	1053.17	1500.9	1720.34	5132.94	2279.16
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	8524.47	6771.73	8458.76	6968.71	4096.79	5198.9	4663.97	5501.92	5435.63	5315.46	6730.97	6150.28	6109.29	5163.71	4008.13	5684.09	5893.24	3574.72	4395.86	4996.75	6020.92	6128.37	5629.68	4753.06	6700.21	5215.11	4861.81	5424.08	5327.02	8883.44	10234.4	9344.69	8953.61	12676.9	7059.25	8459.34
UNINTEGRATED|g__Bacteroides.s__Bacteroides_eggerthii	1983.02	1448.54	1772.44	1848.92	1023.52	823.456	983.885	1299.65	1457.68	701.053	2102.63	537.622	635.459	0	1398.39	0	1009.28	0	889.54	1116.74	1032.27	2667.02	1047.26	894.819	803.376	997.711	890.189	775.052	1136.71	2528.5	549.667	1638.04	1803.05	2502.49	1751.98	2045.57
UNINTEGRATED|g__Bacteroides.s__Bacteroides_faecis	0	0	847.46	802.715	171.358	433.632	552.086	1343.13	671.835	478.575	0	326.118	0	0	0	0	777.147	0	677.172	491.862	580.231	0	0	0	586.958	474.488	449.253	517.556	528.644	0	0	0	0	0	0	789.608
UNINTEGRATED|g__Bacteroides.s__Bacteroides_finegoldii	2001.2	0	4174.58	1686.45	0	0	0	0	970.739	0	0	974.837	0	0	0	0	1998.11	0	792.479	1720.21	0	0	0	786.347	1071.57	981.807	1256.49	1097.49	1422.63	0	0	0	0	0	0	1549.52
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	10638	0	9872.46	5433.3	0	4612.22	0	5393.45	4838.84	7840.79	6678.77	5759.63	0	0	0	6145.88	7083.64	0	3167.57	0	5021.91	0	4985.56	0	6365.73	0	3704.28	0	5348.12	0	0	0	0	7342.33	0	8762.97
UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis	2194.29	0	1772.8	1018.59	0	3543.3	1977.87	3076.18	1159.39	1993.23	3902.47	1608.85	1291.11	2892.58	0	1562.7	1617.73	0	1669.72	6615.06	0	3748.54	1645.99	0	1611.28	0	834.438	2063.27	3820.89	3637.59	0	6081.49	4126.21	0	5359.91	3603.42
UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii	0	0	0	0	0	188.683	0	0	163.294	0	0	0	449.568	0	0	401.42	427.457	0	179.907	0	0	0	0	0	335.972	180.871	281.584	293.318	313.917	0	0	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	3586.47	3608.06	4425.22	4542.48	7097.7	1720.57	6512.72	2417.09	3624.06	4561.05	4298.35	2678.51	3289.71	4461	7560.81	1533.73	3597.2	0	2591.65	5068.38	2942.16	0	3177.13	3330.03	2391.65	3494.45	3655.98	4394.27	3168.9	4402.33	6280.3	3535.02	5134.32	9181.88	2969.9	4272.89
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2611.81
UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	3115.98	2515.64	2670.62	2021.68	3150.52	1910.49	1506.71	0	1036.74	1343.98	1949.23	969.895	0	1108.99	0	0	1292.81	0	1144.11	992.871	1347.02	1385.33	1233.11	930.641	1823.09	1308.91	1241.38	1564.98	1568.93	2143.71	3306.63	3079.37	2410.56	4631.96	2388.33	3269.37
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	2596.62	4033.08	1701.73	3274.27	2419.97	2672.97	4061.43	3259.93	3978.69	2579.34	3633.17	1840.78	0	2368.12	619.423	1639.59	2767.11	2297.23	1803.33	5149.53	1919.66	2885.13	0	2650.78	1685.27	1660.42	2829.97	1815.2	1985.69	2403.08	0	3110.59	3384.12	0	0	3677.23
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	43072.3	40716.2	37424.7	38695.5	27882.8	24335.5	28467.7	30424.8	26508.6	24751.8	37295.9	26150.5	23896.2	24926.5	28818.9	23061.4	32955.6	17284.7	20700.1	27162.1	24112.3	36589.5	24043.4	22514.1	28388	24109.7	25287.4	27030.4	24494.8	43278.6	36836.9	38344.8	39140.5	36105.6	37709.3	39130.8
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	41613.8	42250.5	43122.6	33293.4	22534.5	25390.4	24922.1	27677.3	28373.3	25368.8	40303.7	29161.4	29421.5	24773	27329.5	26142.8	34168.1	32381.5	24943.3	28172	27676.3	34559.4	27671	22639.4	31097.7	29109.8	28031.9	28927.7	27371.4	38463.5	41397	41600.5	43934.5	41165.4	41318.9	48237.7
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	3211.71	3178.74	3265.63	2867.65	946.837	2223.79	2249.02	2633.17	1978.51	2142.18	4448.14	1705.38	1347.81	1421.42	1078.41	2572.13	3182.73	5481.77	1812.68	2475.77	2597.61	2361.75	4272.94	2349.76	2701.46	3290.31	2336.13	2862.05	3082.66	4672.25	1499.27	2168.85	2721.28	2813.5	1771.32	2715.44
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	18910.8	16711.6	18771	44640	44919.7	52835	54578.4	47355.6	56519.9	43644	21867.2	50928.8	44354.9	40459.6	44737.8	48841.8	36146.6	41005.8	43804.8	48876.8	39488.9	15598.8	46338	40387.3	39251.7	37409.1	38028.6	38471.6	39734.3	18335.9	19098.9	16227.9	16949.5	15965.8	15087.3	18223.4
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_angulatum	225.939	0	220.82	373.914	0	0	0	0	757.469	0	361.119	367.494	0	0	0	400.469	520.048	0	338.923	0	0	0	0	0	353.045	340.195	411.744	0	263.584	0	0	0	0	0	0	140.215
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937.93	0	3715.55	0	1849.34	0	0	0	0	0	0	0	1364.71	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	4963.92	5876.25	7096.57	22494.7	23277.6	23364.4	32598.1	27223.5	31217.9	24208.4	6157.1	26332	23298.6	17117	22179.5	23307.1	33431.2	21486.7	24659.4	30571.2	29226	6044.65	28892.5	21997.9	27095.7	22590.6	23211.2	25755.6	21605.9	3560.05	5157.27	5896.86	5496.76	5541.76	2664.88	6625.16
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	857.956	1635.56	1018.72	1233.22	2312.73	1661.65	2894.18	1679.2	1814.05	1123.9	1871.9	2274.82	1814.57	1924.82	2085.6	1648.22	1397.54	0	1640.95	2045.66	1737.04	1573.45	1963.71	1217.99	1205.4	1301.97	1341.67	1743.87	1459.37	1601.56	1319.26	566.891	893.342	0	1357.25	865.121
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	8794.82	9842.35	11204.9	33910.1	42755.9	48045.5	48641.6	43986.5	46325.9	30576.1	10302	42618.4	37792	24702.9	32650.4	38039.6	36937.6	29947.6	33241.2	46126.2	34987.3	6181.68	38895.2	26702.4	28654.5	23971.1	26178.8	26515.7	27777.2	12180.7	9660.67	5200.42	16487.8	13986.9	8332.35	10106.1
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	1449.42	1072.05	1902.97	3751.71	3939.63	4989.74	5460.93	6629.88	6645.61	5360.48	1199.22	6919.81	4870.13	5121.56	4131.76	5323.54	5604.45	5702.85	5818.92	6431.26	4243.21	2537.97	6275.33	3249.65	5027.17	6121.89	5873.17	4381.73	5765.65	1916.53	2657.25	1152.49	1253.35	2231.19	2850.26	1507.23
UNINTEGRATED|g__Blautia.s__Blautia_obeum	30899.5	30552.9	33350.9	15860.2	11393.5	14858.2	14176.6	14476.2	17910.3	16919.8	30924.7	17672.6	13862.1	12241.3	13593.4	12942.2	16052.5	5275.34	16144.7	16523.7	13579.7	27399.6	12442.1	11159.1	17456.6	15671.5	17318	15071	17179.8	27600.5	30684.6	30757.1	28285.7	26145.9	29283.7	33626.2
UNINTEGRATED|g__Blautia.s__Blautia_sp_AF19_10LB	0	0	1705.96	0	0	0	0	0	1501.44	722.675	0	1125.56	0	0	0	0	0	0	0	0	0	1333.69	0	0	0	749.576	0	0	0	0	0	0	0	738.719	0	2217.7
UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	12963.8	14008.7	14924.7	7926.54	5685.09	6078.19	6484.39	7307.73	8923	7657.11	14039.9	8061.5	8213.9	6469.87	6754.98	7297.83	6743.05	4060.69	7286.42	7977.31	7350.56	14203	6224.71	6394.6	7946.3	6738.41	7571.05	7002.2	7877.65	13490.3	13234.2	12918	11661.7	11983.5	13826.2	14281.6
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	22833.2	23336.3	24180	13140	7949.52	10844.9	10944.5	9104.32	13162.9	10529.9	22899.7	12541.7	10163.7	11392.5	10557.2	10782.7	11945.2	4541.48	12245	10844.9	10897.1	20941.1	9690.33	9609.93	12551.7	10873.9	13150.1	11850.4	13319.3	19513.6	23805.9	22803	21242.6	20319.7	21614.3	23944.6
UNINTEGRATED|g__Catenibacterium.s__Catenibacterium_mitsuokai	16307.4	11778.8	13464.3	24622.1	18228.1	16746.4	22136.5	22398.4	22112.8	21638.1	12815.1	20526.3	18375.4	18703.7	20067.5	18987.8	20838.8	11197.5	18769.9	21944.8	17395.6	13058.1	18797.8	15056.3	19302.6	17738.5	20628.7	18663.2	19167.9	15806.3	13881.9	14684.4	14242.1	12344.8	13033.1	14934.8
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.287	0	0	0	0	0	0	0	0	1809.94
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	8768.58	9780.46	11217.6	10388.7	7817.42	11803.9	15327.6	13512.3	14454.4	12228.9	9762.23	15778.8	14519.1	12094.8	9774.88	14524.4	8282.05	0	10336.9	15202	8961.05	9136.37	10048.8	7705.58	11291.6	10370.3	11429.2	8874.14	10923.8	8969.41	8065.22	8946.93	8225.76	8050.71	8550.31	10811.7
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	1056.76	0	0	0	0	0	428.332	0	1215.1	0	0	0	0	0	0	533.147	0	0	1115.84	0	0	0	0	0	0	1592.81
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	2781.74	3883.85	4199.13	1931.35	0	2052.45	2448.78	0	3111.16	1828.5	3024.7	1617.65	1965.49	1684.8	0	1733.97	3006.98	0	2366.98	2122.75	0	2533.13	0	0	1682.28	2151.03	1831.26	2217.84	3133.71	0	3238.37	2951.93	2603.39	1878.57	0	5140.35
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	8076.36	6920.17	8731.23	0	0	0	0	0	996.876	0	7896.52	0	0	0	0	0	6349.34	0	5296.71	5315.89	4488.97	2540.85	3062.36	3927.06	7634.2	5823.26	9413.69	8228.92	7091.44	4973.39	8390.95	8066.3	8171.58	0	5923.09	10410.5
UNINTEGRATED|g__Dialister.s__Dialister_succinatiphilus	2250.51	2408.32	3094.69	0	0	0	0	0	0	0	0	1621.23	0	0	0	0	1613.21	0	2082.23	2178.56	0	0	0	0	1596.22	1237.68	1494.43	0	3619.86	0	1563.4	0	2169.56	0	0	3350.44
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	3188.85	0	1979.11	986.531	0	1570.85	0	0	0	1718.69	3030.86	1730.49	0	0	863.155	0	0	0	1104.06	675.551	0	0	0	0	1552.08	1709.01	1702.46	0	2457.61	2034.38	0	0	0	3769.47	0	3713.57
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	10569.9	8276.05	10046.3	6730.38	0	5318.81	4961.29	5622.58	4530.76	3824.64	7613.8	4206.14	4291.1	0	2852.03	5804.49	5876.1	0	7165.82	7221.89	6294.6	7882	4164.09	7649.32	5346.83	6041.14	6547.57	6763.34	7490.36	8717.1	10481.1	8149.84	7166.41	7606.99	9640.15	9478.88
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium	0	0	0	0	0	2560.25	0	0	0	0	0	0	0	0	0	0	0	0	2922.13	0	0	0	0	0	0	0	0	0	2109.43	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	0	0	0	69187.3	67844.8	108755	30468.7	46735.1	46849.1	38921.4	0	32731.4	33119.5	34814.4	24667.6	41119	65193	28954.1	90864.7	24250.1	53582.1	0	40835.8	20387.9	30153.3	37150.2	37037.6	23564.9	43840	0	0	0	0	0	0	0
UNINTEGRATED|g__Escherichia.s__Escherichia_fergusonii	0	0	0	1460.19	1643.22	2069.3	575.099	1608.5	526.898	1476.05	0	772.307	1301.21	0	1062.72	2453.68	1696.53	0	1483.1	501.716	1169.55	0	6773.23	0	750.148	465.232	857.952	842.034	734.945	0	0	0	0	0	0	0
UNINTEGRATED|g__Eubacterium.s__Eubacterium_callanderi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	28944	27418.4	28346.2	9967.88	8168.25	5082.7	12961.1	9282.43	8522.76	12308.5	27622.4	11682.3	4232.66	11398.1	10271.1	8604.97	12890.3	0	12201	11322.4	10990.5	29095.6	16148.1	13411.4	14206.9	15551.4	15202.8	14412.6	14993.5	23891.6	23491.5	21629.6	27227.5	17646.9	26346.2	32385
UNINTEGRATED|g__Faecalicoccus.s__Faecalicoccus_pleomorphus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Faecalitalea.s__Faecalitalea_cylindroides	0	0	0	0	0	0	0	0	669.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463.638	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	5969.64	5662.86	6237.25	0	0	616.173	0	0	2577.85	0	2869.86	3411.16	0	0	0	0	511.728	0	2563.31	687.611	0	0	0	0	0	0	0	1606.14	248.7	3273.87	0	0	2307.99	0	3490.79	5931.91
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_mortiferum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_varium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	2002.57	0	3275.86	867.993	0	0	0	0	1111.41	699.088	1854.18	1115.6	0	0	0	798.39	3492.14	0	1818.58	1459.41	0	0	632.598	0	1607.9	0	3085.85	911.53	2102.09	0	0	0	4168.72	0	1535.46	2835.87
UNINTEGRATED|g__Hungatella.s__Hungatella_hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Intestinimonas.s__Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	4708.85	6700.86	5733.87	5100.94	2653.45	4748.07	3367.88	0	3522.31	4924.62	4592.01	4131.82	3897.56	3749.05	8527.98	5041.58	2685.07	4180.67	0	3536.02	2103.86	2963.32	3256.92	3173.85	2935.86	3074.57	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_bolteae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_citroniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnospira.s__Lachnospira_pectinoschiza	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.752	0	0	0	0	0	0	0
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	17507.1	17761.9	18001.9	6969.95	8314.05	8249.8	8336.09	7685.92	8361.64	8010.99	18200.4	8993.47	11256.5	8149.03	8816.46	8344.69	14075	6169.7	10611.3	9529.52	12049.5	17307	9081.71	11700.8	12788.3	11065.9	14297.7	13176.7	14326.1	13768.3	18351.2	14594.2	16892.8	17531.8	16858.6	18992
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_acidophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9175.07	4725.32	9555.84	20600.2	8280.24	0	7767.56	5113.76	5387.54	4338.61	5882.53	6990.33	5691.37	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_rhamnosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Megamonas.s__Megamonas_funiformis	922.01	0	673.261	0	0	246.171	423.193	734.318	0	0	693.941	0	508.301	0	1102.89	405.521	603.248	0	0	474.311	392.425	0	0	0	0	0	634.11	0	201.042	765.05	496.559	0	0	1720.55	0	896.147
UNINTEGRATED|g__Megamonas.s__Megamonas_hypermegale	466.407	0	554.73	0	0	123.681	293.896	0	0	0	0	0	0	0	0	0	0	0	0	0	272.326	0	0	0	0	0	0	0	194.619	0	329.86	0	0	0	0	784.932
UNINTEGRATED|g__Megamonas.s__Megamonas_rupellensis	572.583	0	487.273	0	0	272.154	635.091	391.058	0	0	918.754	0	442.503	0	0	483.058	0	0	0	583.28	0	0	0	0	0	0	784.991	0	115.075	965.169	460.983	0	0	978.98	0	857.851
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004.09	0	892.536	0	0	0	0	0	517.235	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	3872.17	0	4005.24	5373.42	0	4214.11	1651.53	3724.06	3009.96	2577.24	3506.41	3069.89	2662.59	0	2023.29	1686.26	7129.82	0	2471.61	3731.67	0	0	0	0	2650.47	2471.52	3714.98	0	3075.87	0	0	0	0	2273.79	3717.62	5449.33
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	549.008	0	444.086	0	0	0	0	0	0	0	0	0	0	0	0	390.518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720.561
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1814.67	0	787.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715.84
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	10353.1	0	8214.4	0	0	0	0	0	0	0	10717.3	0	0	0	0	0	6447.49	0	3791.79	6539.31	0	0	0	0	5018.67	0	5156.43	5052.36	3452.85	0	0	5254.6	13852.3	9196.18	0	13129.9
UNINTEGRATED|g__Prevotella.s__Prevotella_sp_AM42_24	0	0	651.909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	13781.7	12914.2	14065.2	7852.55	6630.91	5391.44	9918.71	4969.3	8587.81	10855.5	12011.5	9733.31	8732.76	7623.82	9571.32	7331.13	1767.38	0	2962.3	0	0	11559	0	0	0	1853.51	2601.65	3234.22	5870.93	13543.4	12127.1	13429.6	15704.5	10078.3	11911.2	15426.5
