,Superclass1,Superclass2,pathway,
ALANINE-VALINESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-alanine biosynthesis I,
ALKANEMONOX-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,two-component alkanesulfonate monooxygenase,
ALL-CHORISMATE-PWY,Superpathways,Superpathways,superpathway of chorismate metabolism,
ALLANTOINDEG-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,superpathway of allantoin degradation in yeast,
AMMASSIM-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia assimilation cycle III,
AMMOXID-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,ammonia oxidation I (aerobic),
ANAEROFRUCAT-PWY,Generation of Precursor Metabolites and Energy,Fermentation,homolactic fermentation,
ANAGLYCOLYSIS-PWY,Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis III (from glucose),
ANAPHENOXI-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-phenylalanine degradation II (anaerobic),
ARABCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-arabinose degradation I,
ARG-GLU-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation VII (arginase 3 pathway),
ARG-PRO-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation VI (arginase 2 pathway),
ARGASEDEG-PWY,Biosynthesis,Amino Acid Biosynthesis,L-arginine degradation I (arginase pathway),
ARGDEG-III-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway),
ARGDEG-IV-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation VIII (arginine oxidase pathway),
ARGDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",
ARGDEG-V-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation X (arginine monooxygenase pathway),
ARGDEGRAD-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation V (arginine deiminase pathway),
ARGININE-SYN4-PWY,Biosynthesis,Amino Acid Biosynthesis,L-ornithine de novo  biosynthesis,
ARGSPECAT-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,spermine biosynthesis,
ARGSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-arginine biosynthesis I (via L-ornithine),
ARGSYNBSUB-PWY,Biosynthesis,Amino Acid Biosynthesis,L-arginine biosynthesis II (acetyl cycle),
ARO-PWY,Biosynthesis,Aromatic Compound Biosynthesis,chorismate biosynthesis I,
ASPARAGINE-BIOSYNTHESIS,Biosynthesis,Amino Acid Biosynthesis,L-asparagine biosynthesis I,
ASPARAGINE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-asparagine degradation I,
ASPARAGINE-DEG1-PWY-1,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-asparagine degradation III (mammalian),
ASPARAGINESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-asparagine biosynthesis II,
ASPARTATE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-aspartate degradation I,
ASPARTATESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-aspartate biosynthesis,
ASPASN-PWY,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-aspartate and L-asparagine biosynthesis,
ASPSYNII-PWY,Detoxification,Cyanide Detoxification,cyanide detoxification I,
AST-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine degradation II (AST pathway),
BENZCOA-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,anaerobic aromatic compound degradation (Thauera aromatica),
BETA-ALA-DEGRADATION-I-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,&beta;-alanine degradation I,
BETSYN-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,glycine betaine biosynthesis I (Gram-negative bacteria),
BGALACT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,lactose degradation III,
BIOTIN-BIOSYNTHESIS-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",biotin biosynthesis I,
BRANCHED-CHAIN-AA-SYN-PWY,Biosynthesis,Amino Acid Biosynthesis,superpathway of branched amino acid biosynthesis,
BSUBPOLYAMSYN-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,spermidine biosynthesis I,
CALVIN-PWY,Biosynthesis,Carbohydrate Biosynthesis,Calvin-Benson-Bassham cycle,
CAMALEXIN-SYN,Biosynthesis,Secondary Metabolite Biosynthesis,camalexin biosynthesis,
CARNMET-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,L-carnitine degradation I,
CAROTENOID-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,superpathway of carotenoid biosynthesis,
CATECHOL-ORTHO-CLEAVAGE-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,catechol degradation to &beta;-ketoadipate,
CENTBENZCOA-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzoyl-CoA degradation II (anaerobic),
CENTFERM-PWY,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to butanoate,
CHLOROPHYLL-SYN,Biosynthesis,Tetrapyrrole Biosynthesis,"chlorophyllide a biosynthesis I (aerobic, light-dependent)",
CHOLINE-BETAINE-ANA-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,choline degradation I,
CITRULBIO-PWY,Biosynthesis,Amino Acid Biosynthesis,L-citrulline biosynthesis,
CITRULLINE-DEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-citrulline degradation,
CO2FORM-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,methanogenesis from methanol,
COA-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme A biosynthesis I,
COA-PWY-1,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme A biosynthesis II (mammalian),
COBALSYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",adenosylcobalamin salvage from cobinamide I,
CODH-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,reductive acetyl coenzyme A pathway,
COLANSYN-PWY,Biosynthesis,Carbohydrate Biosynthesis,colanic acid building blocks biosynthesis,
COMPLETE-ARO-PWY,Biosynthesis,Amino Acid Biosynthesis,superpathway of aromatic amino acid biosynthesis,
CRNFORCAT-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,creatinine degradation I,
CYANCAT-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,cyanate degradation,
CYCLOHEXANOL-OXIDATION-PWY,Degradation/Utilization/Assimilation,Alcohol Degradation,cyclohexanol degradation,
CYSTEINE-DEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-cysteine degradation I,
CYSTSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-cysteine biosynthesis I,
DAPLYSINESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-lysine biosynthesis I,
DARABCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,D-arabinose degradation II,
DARABCATK12-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,D-arabinose degradation I,
DARABITOLUTIL-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,D-arabitol degradation,
DENITRIFICATION-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction I (denitrification),
DENOVOPURINE2-PWY,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,superpathway of purine nucleotides de novo biosynthesis II,
DESULFONATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,benzenesulfonate degradation,
DETOX1-PWY,Detoxification,Reactive Oxygen Species Degradation,superoxide radicals degradation,
DETOX1-PWY-1,Detoxification,Reactive Oxygen Species Degradation,reactive oxygen species degradation,
DHGLUCONATE-PYR-CAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glucose degradation (oxidative),
DISSULFRED-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfate reduction IV (dissimilatory),
DTDPRHAMSYN-PWY,Biosynthesis,Carbohydrate Biosynthesis,dTDP-L-rhamnose biosynthesis I,
ECASYN-PWY,Biosynthesis,Cell Structure Biosynthesis,enterobacterial common antigen biosynthesis,
ENTBACSYN-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,enterobactin biosynthesis,
ENTNER-DOUDOROFF-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Entner-Doudoroff pathway I,
ERGOSTEROL-SYN-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of ergosterol biosynthesis I,
ETHYL-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,ethylene biosynthesis I (plants),
ETOH-ACETYLCOA-ANA-PWY,Degradation/Utilization/Assimilation,Alcohol Degradation,ethanol degradation I,
FAO-PWY,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,fatty acid &beta;-oxidation I,
FASYN-ELONG-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,fatty acid elongation -- saturated,
FASYN-INITIAL-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of fatty acid biosynthesis initiation (E. coli),
FERMENTATION-PWY,Generation of Precursor Metabolites and Energy,Fermentation,mixed acid fermentation,
FESULFOX-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,sulfur oxidation II (Fe+3-dependent),
FLUORENE-DEG-9-ONE-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,fluorene degradation I,
FOLSYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of tetrahydrofolate biosynthesis and salvage,
FORMASS-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,formaldehyde oxidation IV (thiol-independent),
FUC-RHAMCAT-PWY,Superpathways,Superpathways,superpathway of fucose and rhamnose degradation,
FUCCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,fucose degradation,
GALACT-GLUCUROCAT-PWY,Superpathways,Superpathways,superpathway of hexuronide and hexuronate degradation,
GALACTARDEG-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galactarate degradation I,
GALACTCAT-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galactonate degradation,
GALACTITOLCAT-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,galactitol degradation,
GALACTUROCAT-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-galacturonate degradation I,
GALDEG-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,galactose degradation II,
GALLATE-DEGRADATION-I-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,gallate degradation II,
GALLATE-DEGRADATION-II-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,gallate degradation I,
GAMMAHEXCHLORDEG-PWY,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,&gamma;-hexachlorocyclohexane degradation,
GDPRHAMSYN-PWY,Biosynthesis,Carbohydrate Biosynthesis,GDP-D-rhamnose biosynthesis,
GLCMANNANAUT-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",
GLNSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-glutamine biosynthesis I,
GLUAMCAT-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,N-acetylglucosamine degradation I,
GLUCARDEG-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-glucarate degradation I,
GLUCARGALACTSUPER-PWY,Superpathways,Superpathways,superpathway of D-glucarate and D-galactarate degradation,
GLUCONEO-PWY,Biosynthesis,Carbohydrate Biosynthesis,gluconeogenesis I,
GLUCONSUPER-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-gluconate degradation,
GLUCOSE1PMETAB-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glucose and glucose-1-phosphate degradation,
GLUCUROCAT-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,superpathway of &beta;-D-glucuronide and D-glucuronate degradation,
GLUDEG-I-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,GABA shunt,
GLUDEG-II-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamate degradation VII (to butanoate),
GLUGLNSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-glutamate biosynthesis IV,
GLUT-REDOX-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",glutathione redox reactions II,
GLUTAMATE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamate degradation I,
GLUTAMATE-SYN2-PWY,Biosynthesis,Amino Acid Biosynthesis,L-glutamate biosynthesis II,
GLUTAMINDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamine degradation I,
GLUTAMINEFUM-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamine degradation II,
GLUTATHIONESYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",glutathione biosynthesis,
GLUTDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamate degradation II,
GLUTORN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-ornithine biosynthesis,
GLUTSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-glutamate biosynthesis I,
GLUTSYNIII-PWY,Biosynthesis,Amino Acid Biosynthesis,L-glutamate biosynthesis III,
GLYCEROLMETAB-PWY,Degradation/Utilization/Assimilation,Alcohol Degradation,glycerol degradation V,
GLYCGREAT-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,creatine biosynthesis,
GLYCINE-SYN2-PWY,Biosynthesis,Amino Acid Biosynthesis,glycine biosynthesis II,
GLYCLEAV-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,glycine cleavage,
GLYCOCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glycogen degradation I (bacterial),
GLYCOGENSYNTH-PWY,Biosynthesis,Carbohydrate Biosynthesis,glycogen biosynthesis I (from ADP-D-Glucose),
GLYCOL-GLYOXDEG-PWY,Degradation/Utilization/Assimilation,Alcohol Degradation,superpathway of glycol metabolism and degradation,
GLYCOLATEMET-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,glycolate and glyoxylate degradation I,
GLYCOLYSIS,Generation of Precursor Metabolites and Energy,Glycolysis,glycolysis I (from glucose 6-phosphate),
GLYCOLYSIS-E-D,Generation of Precursor Metabolites and Energy,Superpathways,superpathway of glycolysis and Entner-Doudoroff,
GLYCOLYSIS-TCA-GLYOX-BYPASS,Generation of Precursor Metabolites and Energy,Superpathways,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",
GLYOXDEG-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,glycolate and glyoxylate degradation II,
GLYOXYLATE-BYPASS,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,glyoxylate cycle,
GLYSYN-ALA-PWY,Biosynthesis,Amino Acid Biosynthesis,glycine biosynthesis III,
GLYSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,glycine biosynthesis I,
GLYSYN-THR-PWY,Biosynthesis,Amino Acid Biosynthesis,glycine biosynthesis IV,
GOLPDLCAT-PWY,Degradation/Utilization/Assimilation,Alcohol Degradation,"superpathway of glycerol degradation to 1,3-propanediol",
HCAMHPDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,
HEME-BIOSYNTHESIS-II,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",heme biosynthesis I (aerobic),
HEME-BIOSYNTHESIS-II-1,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",heme biosynthesis V (aerobic),
HEMESYN2-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",heme biosynthesis II (anaerobic),
HEXITOLDEGSUPER-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,superpathway of hexitol degradation (bacteria),
HEXPPSYN-PWY,Biosynthesis,Polyprenyl Biosynthesis,hexaprenyl diphosphate biosynthesis,
HISDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-histidine degradation I,
HISHP-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-histidine degradation VI,
HISTDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-histidine degradation IV,
HISTSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-histidine biosynthesis,
HOMOCYSDEGR-PWY,Biosynthesis,Amino Acid Biosynthesis,L-cysteine biosynthesis III (from L-homocysteine),
HOMOSER-METSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-methionine biosynthesis I,
HOMOSER-THRESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-threonine biosynthesis,
HOMOSERSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-homoserine biosynthesis,
HSERMETANA-PWY,Biosynthesis,Amino Acid Biosynthesis,L-methionine biosynthesis III,
HYDROXYPRODEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,trans-4-hydroxy-L-proline degradation I,
IDNCAT-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-idonate degradation,
ILEUDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-isoleucine degradation I,
ILEUSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-isoleucine biosynthesis I (from threonine),
KDO-LIPASYN-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,(Kdo)2-lipid A biosynthesis I,
KDO-NAGLIPASYN-PWY,Biosynthesis,Cell Structure Biosynthesis,superpathway of (Kdo)2-lipid A biosynthesis,
KDOSYN-PWY,Biosynthesis,Cell Structure Biosynthesis,Kdo transfer to lipid IVA I,
KETOGLUCONMET-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,ketogluconate metabolism,
LACTOSECAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,lactose and galactose degradation I,
LACTOSEUTIL-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,lactose degradation II,
LARABITOLUTIL-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,xylitol degradation,
LCYSDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-cysteine degradation II,
LEU-DEG2-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-leucine degradation I,
LEUSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-leucine biosynthesis,
LIPA-CORESYN-PWY,Biosynthesis,Carbohydrate Biosynthesis,Lipid A-core biosynthesis,
LIPAS-PWY,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,triacylglycerol degradation,
LIPASYN-PWY,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,phospholipases,
LPSSYN-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,superpathway of lipopolysaccharide biosynthesis,
LYSDEGII-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation III,
LYSINE-AMINOAD-PWY,Biosynthesis,Amino Acid Biosynthesis,L-lysine biosynthesis IV,
LYSINE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine degradation XI (mammalian),
LYXMET-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,L-lyxose degradation,
M-CRESOL-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,m-cresol degradation,
MALATE-ASPARTATE-SHUTTLE-PWY,Generation of Precursor Metabolites and Energy,Other,L-aspartate degradation II,
MALTOSECAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,maltose degradation,
MANNCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,D-mannose degradation,
MANNIDEG-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,mannitol degradation I,
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,Biosynthesis,Carbohydrate Biosynthesis,"protein N-glycosylation (eukaryotic, high mannose)",
MENAQUINONESYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",menaquinol-8 biosynthesis,
MET-SAM-PWY,Superpathways,Superpathways,superpathway of S-adenosyl-L-methionine biosynthesis,
METH-ACETATE-PWY,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from acetate,
METHANOGENESIS-PWY,Generation of Precursor Metabolites and Energy,Respiration,methanogenesis from H2 and CO2,
METHFORM-PWY,Generation of Precursor Metabolites and Energy,Respiration,methyl-coenzyme M reduction to methane,
METHGLYUT-PWY,Degradation/Utilization/Assimilation,Aldehyde Degradation,superpathway of methylglyoxal degradation,
METHIONINE-DEG1-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-methionine degradation I (to L-homocysteine),
METHYLGALLATE-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,methylgallate degradation,
METSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,L-homoserine and L-methionine biosynthesis,
MGLDLCTANA-PWY,Degradation/Utilization/Assimilation,Aldehyde Degradation,methylglyoxal degradation VI,
N2FIX-PWY,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrogen fixation I (ferredoxin),
NAD-BIOSYNTHESIS-II,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD salvage pathway II,
NAD-BIOSYNTHESIS-III,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD biosynthesis III,
NADPHOS-DEPHOS-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD phosphorylation and dephosphorylation I,
NADPHOS-DEPHOS-PWY-1,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD phosphorylation and dephosphorylation II (mammalian),
NADSYN-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD biosynthesis II (from tryptophan),
NAGLIPASYN-PWY,Biosynthesis,Cell Structure Biosynthesis,lipid IVA biosynthesis,
NONMEVIPP-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,methylerythritol phosphate pathway I,
NONOXIPENT-PWY,Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (non-oxidative branch),
NOPALINEDEG-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,nopaline degradation,
NPGLUCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Entner-Doudoroff pathway II (non-phosphorylative),
OANTIGEN-PWY,Biosynthesis,Carbohydrate Biosynthesis,O-antigen building blocks biosynthesis (E. coli),
OCTOPINEDEG-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,octopine degradation,
ORN-AMINOPENTANOATE-CAT-PWY,Biosynthesis,Amino Acid Biosynthesis,L-ornithine degradation I (L-proline biosynthesis),
ORNARGDEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,superpathway of L-arginine and L-ornithine degradation,
ORNDEG-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,superpathway of ornithine degradation,
OXIDATIVEPENT-PWY,Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,pentose phosphate pathway (oxidative branch),
P101-PWY,Biosynthesis,Amine and Polyamine Biosynthesis,ectoine biosynthesis,
P105-PWY,Generation of Precursor Metabolites and Energy,TCA cycle,TCA cycle IV (2-oxoglutarate decarboxylase),
P108-PWY,Generation of Precursor Metabolites and Energy,Fermentation,pyruvate fermentation to propanoate I,
P121-PWY,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,adenine and adenosine salvage I,
P122-PWY,Generation of Precursor Metabolites and Energy,Fermentation,heterolactic fermentation,
P124-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Bifidobacterium shunt,
P125-PWY,Biosynthesis,Other Biosynthesis,"superpathway of (R,R)-butanediol biosynthesis",
P141-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,atrazine degradation I (aerobic),
P142-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,pyruvate fermentation to acetate I,
P161-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,acetylene degradation,
P162-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-glutamate degradation V (via hydroxyglutarate),
P163-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-lysine fermentation to acetate and butanoate,
P164-PWY,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,purine nucleobases degradation I (anaerobic),
P165-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,superpathway of purines degradation in plants,
P181-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,nicotine degradation I (pyridine pathway),
