Pathway	ENRIQ_10_S11_L001_Coverage	ENRIQ_11_S12_L001_Coverage	ENRIQ_12_S13_L001_Coverage	ENRIQ_13_S14_L001_Coverage	ENRIQ_14_S15_L001_Coverage	ENRIQ_15_S16_L001_Coverage	ENRIQ_16_S17_L001_Coverage	ENRIQ_17_S18_L001_Coverage	ENRIQ_18_S19_L001_Coverage	ENRIQ_19_S20_L001_Coverage	ENRIQ_1_S2_L001_Coverage	ENRIQ_20_S21_L001_Coverage	ENRIQ_21_S22_L001_Coverage	ENRIQ_22_S23_L001_Coverage	ENRIQ_23_S24_L001_Coverage	ENRIQ_24_S25_L001_Coverage	ENRIQ_25_S26_L001_Coverage	ENRIQ_26_S27_L001_Coverage	ENRIQ_27_S28_L001_Coverage	ENRIQ_28_S29_L001_Coverage	ENRIQ_29_S30_L001_Coverage	ENRIQ_2_S3_L001_Coverage	ENRIQ_30_S31_L001_Coverage	ENRIQ_31_S32_L001_Coverage	ENRIQ_32_S33_L001_Coverage	ENRIQ_33_S34_L001_Coverage	ENRIQ_34_S35_L001_Coverage	ENRIQ_35_S36_L001_Coverage	ENRIQ_36_S37_L001_Coverage	ENRIQ_37_S38_L001_Coverage	ENRIQ_38_S39_L001_Coverage	ENRIQ_39_S40_L001_Coverage	ENRIQ_3_S4_L001_Coverage	ENRIQ_40_S41_L001_Coverage	ENRIQ_41_S42_L001_Coverage	ENRIQ_42_S43_L001_Coverage	ENRIQ_43_S44_L001_Coverage	ENRIQ_44_S45_L001_Coverage	ENRIQ_45_S46_L001_Coverage	ENRIQ_46_S47_L001_Coverage	ENRIQ_47_S48_L001_Coverage	ENRIQ_48_S49_L001_Coverage	ENRIQ_49_S50_L001_Coverage	ENRIQ_4_S5_L001_Coverage	ENRIQ_50_S51_L001_Coverage	ENRIQ_51_S52_L001_Coverage	ENRIQ_52_S53_L001_Coverage	ENRIQ_53_S54_L001_Coverage	ENRIQ_54_S55_L001_Coverage	ENRIQ_55_S56_L001_Coverage	ENRIQ_56_S57_L001_Coverage	ENRIQ_57_S58_L001_Coverage	ENRIQ_58_S59_L001_Coverage	ENRIQ_59_S60_L001_Coverage	ENRIQ_5_S6_L001_Coverage	ENRIQ_60_S61_L001_Coverage	ENRIQ_61_S62_L001_Coverage	ENRIQ_62_S63_L001_Coverage	ENRIQ_6_S7_L001_Coverage	ENRIQ_7_S8_L001_Coverage	ENRIQ_8_S9_L001_Coverage	ENRIQ_9_S10_L001_Coverage
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	0	0	0	0	0	0	5.11E-06	0	0	0	0	0	0	0	0	0	5.95395	0	0	0	0	0	0	0	0	0	0	0	0	0.00282398	0	0	0	0	0	0	0	0	1.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111763	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	17721.3	19147.4	18355.4	12074.6	12246.9	12008.1	13098.7	12778.7	11628	10799.6	17298.2	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12445.1	11022.7	11940.9	11772.7	21323.7	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486	13129	21613.9	17135.2	13774.3	16508.1	11167.3	12845.7	12915.1	9493.99	18864.2	17015.5	13331.5	19084.2	12659.7	11926.3	8733.61	16197.5	16651.3	14823	12587.2	12218	17310.9	10336	16053.8	15622.6	18549	19295.8	20839	21674.9	21186	16561.8
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	17721.3	19165.7	18355.4	12074.6	12246.9	12008.1	13098.5	12778.6	11628	10799.6	17298.2	11130.1	10902.9	11939.2	11905	12099.9	11218.5	11447.3	11022.7	11940.9	11772.7	21296.6	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	12389.3	13129	21297.2	9045.56	2589.8	14903.5	11167.3	12845.7	12915.1	2161.18	312.761	16231.4	13331.5	19088.7	12659.7	11926.3	280.073	0.102213	16264.8	14822.6	12587.2	12218	9752.7	9151.21	13198.6	15105	18549	20185	20951.4	19558.8	19760.9	16561.8
ARO-PWY: chorismate biosynthesis I	17721.3	18733.5	18355.4	12074.6	12246.4	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	12888.2	11022.7	11940.9	11772.7	21320	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13445.3	13129	21772.1	0	62.2788	899.576	11167.3	12845.7	12911.6	0	0.0178054	0.111517	13280.6	19089.3	12620.9	11926.3	0.00117222	0.0216718	0	0.222141	12587.2	12218	0.0370613	2751.86	18111.1	11575.7	18546	19742.1	20704	23310.7	22128.2	16561.8
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0	0	0	12074.6	11988.8	12008.1	12355.6	12775.4	11627.9	10799.5	1.04E-05	10667.8	8747.26	11828.1	11837.9	12099.9	11218.5	8370.46	11022.7	11940.9	11772.7	1981.75	11968.9	2936.68	10882.6	9904.4	10805.6	10978.5	10071.3	11090	13304	11985.4	0.00833497	17220.6	17570.5	16507.2	11167.3	306.569	10495	17707.9	18862.9	17240.4	247.962	0.00230982	12659.7	11841.4	14440.1	17053.4	16651.3	14817.3	12114	2823.98	17929.1	18274.9	2025.54	15829.5	0.0277178	0	4.13587	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0	3.55E-05	0	0	0.0018823	0	0	0	0	0	4.42E-05	0	0.000307337	1.01E-05	1.32E-06	0	0	4.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	17721.3	19078.8	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	21265.3	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21824.9	17220.6	17566.1	16512.1	11167.3	12845.7	12915.1	17707.6	18850.1	16825.5	13331.5	19086.8	12659.7	11926.3	17892.2	11652.6	16651.3	14823	12587.2	12218	17915.9	18286.9	18395.3	15830.5	18549	20185.1	20953.7	23334.7	22516.1	16561.8
CALVIN-PWY: Calvin-Benson-Bassham cycle	17720.7	19159.1	18347.4	12074.6	12246.9	12008.1	13098.7	12778.7	11628	10799.6	17282.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	4396.94	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	2531.12	17220.2	17482.7	16508.3	11167.3	12845.7	12915.1	17707.7	18101.9	17180.8	13331.5	19087	12659.7	11926.3	18136.9	17087.3	16651.3	14823	12587.2	12218	17921.3	18288.3	18395.3	15830.5	16657.7	19967.2	20458.7	20009.5	730.799	16561.8
CARNMET-PWY: L-carnitine degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126157	0	0	0	0	0	0	0	0	0	0	0	0	0.00423733	0	0	0	0	0	0	0	0	1.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167645	0	0	0	0	0	0
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	17616.3	18862.7	18283.1	12060.8	8716.35	11930.3	13098.5	12778.7	11628	10799.6	17274.9	11130.1	10902.7	11939.2	11904.9	12099.9	11218.5	13241.2	11022.7	11940.9	11772.7	2031.75	12462.6	12799.8	10882.6	10019.9	10805.6	10994.4	10071.3	11090	5158.09	2713.3	7742.29	0	0	0	11167.3	277.08	0.337474	0	0	0	11453.1	18686.4	4523.4	10363.7	0	0	0	5.19E-05	11259.3	11015.6	0	0	11897.7	2.06E-05	18345.2	10450.8	10711.4	4184.51	19621.6	16544.5
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	17713.8	18884.6	18265.1	12057.3	8130.47	11953.2	13098.4	12778.7	11628	10799.6	17285.3	11130.1	10902.7	11939.2	11905	12099.9	11218.5	13241.2	11022.7	11940.9	11772.7	5761.67	12442.1	12750.8	10882.6	10019.9	10805.6	10994.4	10071.3	11090	4468.64	2264.23	6666.83	0	0	0	11167.3	222.624	0.26998	0	0	0	11063.3	18790.5	3897.22	10035	0	0	0	4.15E-05	10970	10751	0	0	15470	1.74E-05	18429.2	9326.34	9545.01	4933.62	19016.2	16560.7
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0	0	0	0.00323477	0	0	0.197852	0	2615.29	0	0.000344251	0.0425626	0.000400138	0.0540476	4.88E-05	3.63E-06	0	0	0	0	0	0.338496	3.76E-06	0	4.45937	0.0023597	0.070402	89.3384	9433.32	0	1.48E-05	0	0.0231672	0	9.44941	0	0	0	0	0	0.00982106	0	0	152.439	0	0	0	0	0	0	0	0	0	0	0.577695	0	0.0772344	0	0	0.000723375	0.00291582	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	0	0	0.0708118	0	0	0	0	3.24E-06	0	0	0	0	0	0	0	2.52E-05	0	0	0	0	2.51E-06	0	0	0	0	0	0	0	0.000911659	0	0	0	0	1.16E-05	0	0	0	1.77E-06	0	0	0	0	0	0	0.02112	2.39E-05	0	0	0	0	0.000206185	0	0	0	0	0	0	0	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	17640.8	17916.1	18354.5	12074.5	12063.8	12008.1	13092	12778.6	11628	10799.6	17298.8	11130.1	10902.9	11939.1	11905	12099.9	11218.5	12697.5	11022.7	11940.9	11772.7	1140.33	12545.4	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	10626.7	13109.2	21626.9	0	0.000253015	0.00317033	11167.3	12845.7	12906.9	0	0	0	13245.5	18862	12548	11926	0.000925438	0.000232388	0	2.08E-05	12587	12217.9	0	1.83E-06	17712.6	368.068	18542	19135.3	20494	21498.2	21633.7	16561.8
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0	0	0	3238.83	23.4947	7365.1	6002.57	2967.35	5857.17	623.469	0	36.1056	0.012522	0.0142351	92.7903	1416.5	876.808	6788.71	0.000663567	1.43972	487.102	0	1099.1	1.30E-06	0.000240506	0.00202102	0.0411608	1.53093	0.00383315	570.358	13382.7	10810.3	0	0.302199	168.259	1111.16	8917.66	4124.15	10877.9	0.000260306	11008.9	0.543332	13331.2	0	5570.39	3425.61	0.0991308	2826.76	0	14015.1	11936.2	12039.3	1.7127	36.4467	0	12274.8	0	0	0	0	0	0
DARABCATK12-PWY: D-arabinose degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	17721.3	19165.9	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13243.7	11022.7	11940.9	11772.7	21340.2	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13452.2	13126.8	21825	0	0	0.000125492	11167.3	12845.7	12915	0	0	0	10945.6	19089.4	12659.7	11926.3	0	0	0	0.296787	12587.2	12218	0	0	18395.3	0	18549	20182.4	20953.7	23334.7	22533.4	16561.8
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0	0	0	0.272835	0.0870977	1087.66	0.000233159	4194.97	629.122	0.0356356	0	0.153571	2.18E-06	4.18E-05	0	0.0019384	2734.75	70.5977	0.0080091	0	551.542	0	0.000163091	1.30E-06	0	0	0	0	1.01E-06	0.164221	0.000157787	0	0	0	0.00270059	0	1.12E-06	0	4.45038	0	0	2.93E-05	0	0	0	0.0625628	13632.4	16346.3	0	0	0	0	704.727	0	0	0.632624	0	0	0	0	0	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMENTATION-PWY: mixed acid fermentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520229	0	0	0	0	1.25E-06	0	0	0	0	0	0	0	0.00204988	0	0	6.32913	0.106319	0	0	0	0	0	0	4.38984	0	0	0	0	0.000150611	1.86686	2.00E-05	0	0	0	0.00143971	0	0	0	0	0	0	0	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.610188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCCAT-PWY: fucose degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215296	0	0	0	0	0	0	0	0	0	0	0	0	45.8353	0	0	3.19767	1.82693	0.350709	0	0	3.87E-06	65.051	1051.02	0.0130618	0.0889505	0	0	0	681.218	109.382	0.000231453	3070.88	0	0	68.5198	1.72846	0	597.694	0	0	0	0	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0	0	0	3207.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13486.1	22.7918	0	15994.4	15718.9	0.0513081	0	0	0	17707.7	18915.7	2726.73	558.974	0	6.71E-05	0	2783.8	17072.4	16649.3	7916.19	0	0	0.0279623	10449.6	0	15818.1	0	0	0	0	0	0
GALACTITOLCAT-PWY: galactitol degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0683016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0679153	0	0	0	0	0	0	0	5.70589	0	0	0	0	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000141712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	0	0	0	0	5.00627	0	0	0	0	0.000111236	0	0	0	0.485931	0	0	0	0.000666179	0	0	0	0	0	0	0	0	0	0	0	0	427.141	0	0	0.000561391	0	0	0	0	0.000100738	3.54E-06	258.953	0	1.60459	0	0	0	20.2342	0	0.184628	698.377	9.06E-05	0	1.79E-06	0	0	0.419263	0	0	0	0	0	0
GLUCARDEG-PWY: D-glucarate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000217126	0	0	910.649	16.5366	0.000137051	0	0	0	11137.7	1647.3	0.177645	3.07E-05	0	0	0	2722.04	53.8277	13407.7	7858.06	0	0	0.0279623	0.269959	0	12716.2	0	0	0	0	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	0	0	3207.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13486.1	22.7918	0	15994.4	15718.9	0.0513081	0	0	0	17707.7	18915.7	2726.73	558.974	0	6.71E-05	0	2783.8	17072.4	16649.3	7916.19	0	0	0.0279623	10449.6	0	15818.1	0	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I	0	0	0	198.521	0.0216477	4.92E-05	73.0782	0.00110919	0.00956173	0.00104108	0	0.000991691	0.000100307	10.8165	17.757	0	35.4159	10380.5	7.94E-05	0	488.628	0	4566.63	0	2.71002	3889.12	0.0830543	737.938	151.844	0.00547401	7.49091	0	0	0	0.371181	9.91E-06	3.86273	0	0	59.528	12.4355	1.73E-06	0	0	0	0	1302.13	2.53881	0	0	0	0	0.000507394	1.83E-06	0	0	0	0	0	0	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	17717.7	0	16117.7	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	0	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13220.8	11022.7	11940.9	11772.7	0	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13257.5	13129	0	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17353.2	18915.5	17252.5	13331.5	0	12659.7	11926.3	18142.1	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	0	13129.9	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUDEG-I-PWY: GABA shunt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUTORN-PWY: L-ornithine biosynthesis I	17721.2	19078	18355.4	12074.6	12246.9	12008.1	13098.2	12778.7	11628	10799.6	17294.9	11130.1	10902.9	11939.2	11905	12099.9	11218.5	10176.6	11022.7	11940.9	11772.7	21260.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486	13129	20849.7	16820	16246.7	16493.2	11167.3	12845.7	12915.1	7182.21	18776.6	16272.6	13331.5	19064.2	12659.7	11926.3	5160.89	13556.3	16651.3	14823	12587.2	12218	15308.4	17836.5	10820.3	14880	18548.9	16528.4	20414.3	17066.1	18365	16561.8
